ID,UniqueId,Nickname,Verified,Title,Description,IsCommerce,Stats,HashtagName,HeartCount,VideoCount,DiggCount,ShareCount,CommentCount,PlayCount,CollectCount
7098588157762964782,,,,,Fangirling for a sec #justiceforjohnnydepp #benjaminchew #camillevasquez #deppheard #lawyersofinstagram #brownrudnick #johnnydeppisinnocent,,[object Object],,,,,,,,
7099422389473185026,,,,,What’s your take on the white suit? And the Depp v. Heard trial more broadly?  Love to hear your thoughts #depp #johnnydepp #deppheard #deppvheard #psychology #defamationtrial #amberheardjohnnydepp,,[object Object],,,,,,,,
7091502625769704705,,,,,JOHNNY LAUGHING THE WHOLE TIME #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #johnnydepp #funny #deppheard #overit #court #fyp #defamationtrial #johnnydepptrial #defamationtrial #captainjacksparrow,,[object Object],,,,,,,,
7102085337358290178,,,,,"Camile woke up and chose murder, not violence, murder #justiceforjohnny #johnnydepp #amberturd #defamationtrial #justiceforjohnnydepp #johnnydepptrial #deppheard #justicefordepp #amberheardjohnnydepp #amberheardjohnnydepp #katemoss #katemoss90s",,[object Object],,,,,,,,
7099427947798449409,,,,,6 year old me is crying #captainjacksparrow #justiceforjohnny #amberturd #johnnydepp #deppheard #defamationtrial #justicefordepp #justiceforjohnnydepp #johnnydepptrial #johnnydeppisinnocent #amberheardjohnnydepp #piratesofthecaribbean #jacksparrow,,[object Object],,,,,,,,
7090908673895156993,,,,,Highlight of the day 😂#justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #johnnydepptrial #mrrottenborn #johnnydeppisinnocent #amberheardjohnnydepp #defamationtrial #johnnydepp #captainjacksparrow #clown #lawyertiktok #deppheard #court #funny #fyp,,[object Object],,,,,,,,
7093928284110572802,,,,,This is from yesterday I forgot to post it #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #deppheard #johnnydepptrial #defamationtrial #johnnydepp,,[object Object],,,,,,,,
7265000024453532960,,,,,I cant say anything🫣 #johnnydepp #johnny #justiceforjohnnydepp #istandwithjohnnydepp #depp #deppheard #deppheads #johnnydepptiktok #johnnydeppedit #johnnydepplove #johnnydeppedits #trending #fy #fyp #dior #diorsauvage #diorjohnnydepp #johnnydeppdior ,,[object Object],,,,,,,,
7101698399698767106,,,,,When the defence has no defence #justiceforjohnny #johnnydepp #amberturd #defamationtrial #justicefordepp #justiceforjohnnydepp   #johnnydepptrial #amberheard #justicefordepp #drcurry #deppvheard   #elainebredehoft #deppheard,,[object Object],,,,,,,,
7093944109307661570,,,,,GET THE POPCORN!! #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #deppheard #defamationtrial #johnnydepp,,[object Object],,,,,,,,
7098917701610966274,,,,,It was very painful #justiceforjohnny #amberturd #johnnydepp #deppheard #deppvheard #defamationtrial #justicefordepp #justiceforjohnnydepp #johnnydeppisinnocent #amberheard #mentoo #amberheardjohnnydepp #johnnydepptrial #benchew #herewegoagain,,[object Object],,,,,,,,
